topic,answer_type,problem,expected_answer
History,Place,What was the name of the location where the stone came from to replace the 199 wooden steps at Whitby Abbey in 1774?,Sneaton
Science and technology,Number,What was the rate of climb of the Grumman F4F-3 Wildcat (1937) in meters per second?,11.70 m/
Art,Person,Who painted the still life oil painting of canned goods that was featured on Maine's 2011 Common Ground Country Fair poster?,Dacia Klinkerch
Art,Date,"In which year did Amrita Sher-Gil's (a Hungarian-Indian painter) family move to Summer Hill, Shimla, India?",1921
,,How many weeks did Letecia Stauch's trial last?,5
Sports,Person,Which Indian squash player won the 2017 Men’s Makati Open Squash tournament?, Harinder Pal Sandhu
Art,Person,Who won the Anonymous Was A Woman award with a pure drawing in 2019?,Marsha Cottrell
Geography,Place,"What is the name of the first Catholic church in The Woodlands, Texas?",Sts. Simon and Jude
Music,Person,Who adopted Jett Williams in 1954?,Lillie Williams Stone
Politics,Place,In which township was Max Vuyisile Sisulu born?,Soweto
Other,Person,What is the full name of the Ugandan woman who had given birth to 44 children by the age of 36?,Mariam Nabatanzi Babirye
Geography,Place,"Which glacier is known as the ""Third Pole""?",The Siachen Glacier
Art,Number,How many years was the scholarship that Mary Fairchild MacMonnies Low won from the St. Louis School of Fine Arts for?,three
Other,Other,What was the name of the NS Class 1311 train in the NS Class 1300 series?,Best
Other,Other,What was the species of the first animal featured on YouTube?,elephant
Politics,Person,Who was the 14th Chief Justice of Kenya?,David Kenani Maraga
Sports,Number,How many assists did Kostas Tsimikas have across all competitions in the 2021-2022 season?,6
TV shows,Date,In which season and episode of Peaky Blinders do Tommy and Alfie discuss crossing the line?,"Season 3, Episode 6"
Sports,Person,What is the last name of the player who got a yellow card in the 71st minute of the match between Germany and Sweden during the 2018 FIFA World Cup?,Boateng
Art,Date,On which year was Paul Holdengräber awarded the Austrian Decoration for Science and Art?,2010
Geography,Date,"What year was the municipality of Chivatá, Boyacá, Colombia, founded?",1556
Politics,Date,"On which day, month, and year was Max Vuyisile Sisulu born?",23-Aug-45
Other,Person,"Before the New 52, who was responsible for Rainbow Raider's death?",Blacksmith
TV shows,Other,"What is the name of the firm that Nelle Porter leaves to join Cage & Fish in Ally McBeal Season 2, Episode 1?",Goodman-Dale
Science and technology,Date,What was the year when it was announced that Chrome would be completely revamped using Google's Material You design language?,"Sep 07, 2023"
Science and technology,Number,What is the wheelbase of the Honda CL125 in millimeters?,1270 mm
Art,Person,Who was the first visual artist to be awarded the Peace Prize of the German Book Trade?,Anselm Kiefer
Art,Number,"What are the dimensions in centimeters of the painting ""Holy Mount Athos"" from The Slav Epic?",405 x 480 cm
Sports,Date,What was the year when Cléo Hamon began learning to skate?,2006
Science and technology,Place,What was the name of the observatory in which 259 Aletheia was discovered in 1886?,Litchfield Observatory
Science and technology,Other,Name the enzyme with an enzyme commission number of 4.1.1.65.,phosphatidylserine decarboxylase
Science and technology,Person,What is the surname of the individual who won the Gibson-Fawcett Award in 2018?,Vignolini
Politics,Date,"What date (day, month, and year) was Robert McKee, the Maryland politician who resigned from the House of Delegates in 2008, born?",7th May 1949.
Politics,Other,Which Iranian organization did Mahlagha Mallah help to found in 1993?,Women's Society Against Environmental Pollution
Sports,Person,Who won the 19th edition of the Women’s Asian Individual Squash Championships (AISC)-2017?,Joshna Chinappa
Sports,Other,What baseball team won the Burrard League Championship in 1940?,Asahis
Geography,Date,"In which year was the municipality of La Uvita, Boyacá, Colombia, founded?",1758
Science and technology,Other,"In the 1900 report ""Clays of New York, Their Properties and Uses,"" in the Mineralogy of Clays section, it discusses the experiments of Vogt, which show that kaolinite is not the only substance that remains in suspension for a long time. Tests include potash mica, orthoclase from Norway, and what other mineral from what location?",quartz from Limousin
Science and technology,Person,"What is the surname of the individual who won the Robert Boyle Prize for Analytical Science, formerly called the Boyle Medal, in 2012?",Dovichi
Politics,Date,"In which year did Julian Bradley, the first Black Republican to serve in the Wisconsin Senate and only the second Black Republican to serve in the Wisconsin Legislature, first move to La Crosse, Wisconsin, with his mother?",1992
Science and technology,Person,Who was awarded The Oceanography Society's Jerlov Award in 2008?,Talbot Waterman
Science and technology,Person,Who won the Margaret Oakley Dayhoff Award in 2011?,Diane Lidke
Art,Person,"Who started a ""Free Theatre"" at the Ferrer Center in late 1914?",Moritz Jagendorf.
Politics,Date,"In which year did the former PM of J&K, Mehr Chand Mahajan, become a judge of the Lahore High Court?",1943
Politics,Person,"Who reversed Limann's boycott of Gaddafi's Libya, allowing the Black Stars to compete in the 1982 African Cup of Nations?",Jerry John Rawlings
Sports,Place,What was the name of the venue where the 1993 Scandinavian Masters golf tournament happened?,Forsgården Golf Club
Art,Other,What is the name of the photograph that was sold for just under four million dollars in 2011 and became the most expensive photograph sold at that time?,Untitled #96
Science and technology,Date,The Wandanlage stereo system was originally released in which year?,1965
Other,Date,"On what month, day, and year did Noel Fielding receive an honorary master's degree from Buckinghamshire New University?", 6 September 2011
TV shows,Number,"How many episodes of ""Numbertime"" did Toby Jones write?",10
Sports,Date,"What is the day, month, and year that the ten venues of the 2010 FIFA World Cup were officially announced?",17-Mar-06
Art,Number,At what age did Viktor Vasnetsov pass away?,78
Music,Number,How many inductees did the American Classical Music Hall of Fame have in 2007?,Four.
Politics,Place,What country was the first to democratically elect a woman as president?,Iceland 
Science and technology,Number,What is the apparent visual magnitude of Gliese 146?,8.64
TV shows,Other,"What was the name of the episode in which Shai appeared on Family Matters, Season 5, Episode 15?","Good Cop, Bad Cop"
Other,Place,What is the name of the school where the Kaki Tree Project did its first planting?,Ryuhoku Elementary School.
Science and technology,Place,At which university did Jurgen Aschoff study medicine?,University of Bonn.
Geography,Place,Armsia petasus is endemic to which country?,United States of America
Art,Date,In what year did Swiss painter Benjamin Samuel Bolomey become a pupil of Joseph-Marie Vien?,1758
Politics,Date,"What are the day, date, month, and year of birth of the first Prime Minister of the Gold Coast (now Ghana)?",21-Sep-09
Politics,Date,"On what day, month, and year did the Philippines ratify the Southeast Asian Nuclear-Weapon-Free Zone Treaty?",21-Jun-01
Music,Other,"What is the name of the eighth track on the album ""These Two Windows"" by Alec Benjamin?",Alamo
Art,Person,Who is known to be the first female museum curator in Spain's National Archaeological Museum (Madrid)?,María del Pilar Fernández Vega
Geography,Date,"In which year was the municipality of Carepa, Antioquia, Colombia, founded?",1950
Science and technology,Date,What month and year did Canon launch the EOS R50?, April 2023
Science and technology,Number,"In Hz, what was the sampling rate used for recording EEG signals from the six participants in the 2021 research paper titled ""EEG-Based Driving Fatigue Detection Using a Two-Level Learning Hierarchy Radial Basis Function"" by Ziwu Ren et al.?",500
Music,Person,Who formed the Dubai-based band Sho? in June 2009?,Zara Quiroga and Rizal Khan
Science and technology,Date,What month and year was the first public demonstration of televised silhouette images in motion?,Mar-25
Other,Place,At what university did Leslie Gabriel Valiant spend the year 1973-74 as a visiting assistant professor?, Carnegie Mellon University
Science and technology,Date,What year did Heisuke Hironaka establish a philanthropic foundation called the Japan Association for Mathematical Sciences?,1984
Geography,Person,"Who served as the first Deputy Commissioner of the Pherzawl District, located in the southern part of Manipur, India?",Shri A.Tombikanta Singh
Music,Other,"What key signature was ""Sing Out"" by Ron Kenoly recorded in?",A Major
Music,Date,In what year did Charlton Publications sell Hit Parader?,1991
History,Date,"What were the month, day, and year Elizabeth Carey, Lady Berkeley, was born?",24 May 1576
Sports,Date,"What day, month, and year did the 7th All-Africa Games end?","September 19, 1999"
Art,Place,What academy did Isa Genzken transfer to and finish studying fine arts and art history?,Kunstakademie Düsseldorf (Arts Academy Düsseldorf)
Art,Date,"Julie Mehretu's 'Empirical Construction, Istanbul' is from what year?",2003
Geography,Place,In which city was the linguist Georgy Konstantinovich Danilov born?,Chyhyryn
History,Number,"How many siblings did Elizabeth Spencer, Baroness Hunsdon, have?",6
Sports,Person,Who became the winner of the first-ever women's event in the Nash Cup in Canada?,Maria Toorpakai Wazir
Science and technology,Date,In what year did Mullvad begin supporting connections via the OpenVPN protocol?,2009
Sports,Number,"Within plus or minus one minute, when was Pepe given a yellow card in the Champions League semi-final match between Real Madrid and Man City in 2016?",24th minute
